mdng,fr,mdng-remain,fr-remain
"Pə’ahe, ka pəgaɓ ya, ka pə muŋ ya","Plaine, desert, un terrain dégagé"," Fahlii ah a baballe Mo ga lwaa cok pel ɓo baballe: Cok ah kpuu kəka, faa kəka, a pə ’ah ta Fahlii ah dəɓ syee gŋ baballe, gaɓ kəka Jeertə ahe: Weerere", 
Fan ruu sale,Bouclier, Za zyeɓra bal ne wak dəə ma yakke ka zəə ne guu mo gak dan ka za ka ruura sal bai bal a Bal ye fan ruu sal mayək ah pə zah’nan mataa mo kaa ge, 
15 Faswaa mai mo bam ɓo ka wooni,"Balle (de coton, de tissu)"," Bam mbəro, bam zyimmi Muŋta woo bal sər ki kal ga cok ki ne ko Bal mbəro vaŋno a yea pəyəkki", 
Fan joŋ kyemme,"Ballon, balle"," Bal saa ɓo ne wak maswah ahe Dəɓ mo ɓaŋ tə’yak ge gŋ ɓe, a yea pəyakke Me ga ee in bal ɗao Bal ah i ge ɓo nyi mo təgbana faa: Ɓə coŋ ɓo tə ɓo, mo tə joŋ ah o", 
Nəə cok malii ah yo,Eléphant," Bal pə’man kal zom ɓe, a pəswah pəlli ta Za pəlli ləŋra ako ne jol vaŋno, amma jol ye ka, a joŋ yeɓ ne ko pə cok jolle Bal a syeera ne ŋgaɓɓe Za ɗii bal ne wanoo ta Mo joŋ kyem ge kah bal ka, a dah mo kəyaɓ kəyaɓ Za ɗii bal malii ne waballe (wanoo) Tə bər goŋ ye ta  « Goŋ pəswah na balle » Waballe", 
Fan ŋhəə yimmi,Filtre pour bière du mil," Balle (bolle), jur (dər) col ɓo, amma a pəlaŋne A kaŋra ne faa ma ɗii ne sorballe (swəbolle) Ŋwəə ŋhəəra yim ne balle (bolle", 
"Ɓə ɓeare, faa ɓə maɓea ah tə ki cuu ki ne ko","Palabre, dispute, faire du bruit avec qqn"," Za bəəra bal tə ɓə camcam Bəəra bal ŋhaa so ɗahra tənyeere Pa ’yah bal lii ka pa ɓə ɓea yo Jeertə ahe: Ɓə ’nyahre, ɓə sahe", 
Fan pə cii ɓərri,Râte," Balle (bulli, boole) jur zyii ɓo, ka pə’nyah pə zah təgbana zyii ya, a ree ma tə manjoklii Bal (bul, bool) baa wee nyee pəlli Bal mo baa dəɓ ɓe, syem yo ", 
"Pəlli pəlli, haihai","Beaucoup, en désordre"," Dəɓ ah kyah ɓə nyee bama bama, (kahma kahma, pəseat pəseat) Faa ɓə kal ne ko bama bama", 
"16 Dahtəzee (dahtəzəə) kpuu mai ŋwəə ɓil mo yea zyeɓra mor byak byaŋne, təgbana suu səpəəre","Grossesse à terme, préparation pour l’accouchement"," Bam a mor ka matəcee (macer) mo dəə, ka tah mər wel ta A təgbana fan ma ɗii ne 
“éponge” Mawin mo gbə ɓil mo joŋ fĩi nama ɓe a juu bam ne ko ka byak byaŋne; mor ah a ɗiira ne fĩi bamme Za kə Torrocko ɗiira ne fĩi juu fanne", 
Kpuu,Arbre épineux," Bamme (berem zahwon dəfuu) a ne waa Bam ka yea tə waa ya, a yea pə cok mai bii moo pəə gŋ, tə kee elle Za gak ɓal kpuu bam (berem zahwon dəfuu) ka joŋ yeɓ ne no (gbə yaŋ)", 
Bii ma ge gin səŋ ginni,Pluie," Bam (bwam) haŋni, syiini, nəəni, a kal tə tanne Bam mo kəka ɓe, fan ma ne cee daŋ ka yeara ya (dəfuu, nəə, faa, kpuu) ka lwaara farel a Bam mo tə ge, mo so ge uu ɓe, ka kəə gbə ɓo Bam (bwam) tan wah wah, njiɓ njiɓɓi (syiɓ syiɓ), myah ɓəra ɓəra, wala vəvokki na mai mo ’yahe", 
Cuu fan paare,Pl," Vaŋno ɓe, za faa: baŋni (bəbaŋ) Me baŋ zahwii ɓo vaŋno Me bam zahwii ɓo gwa, koo sai Təgər fanne Mo kee bam ah ɗao, a kəɗəne? Tai fan ga wo ki, mo bam jol ahe, jol ah bam ɓe", Attacher 
"Bam mai mo tə tan ɓe, mo ka inzah kpee yao, moo tan lii lii cok com pəpaare","Pluie qui dure, ou de tout le jour"," 
", 
"Morsəəre, zah zummi","Clan, famille élargie, espèce"," Dəfuu ne ban ɓəə camcam Zafuu ne ban ɓəəra; so kəsyil za fuu laŋ, zahban gŋ camcam faɗa Zahban kəsyil za Mundaŋ camcam pəlli: Ban mundaŋ, ban juu, mundaŋ yeere, ban səə, təəre, kəzyeere daŋ, ban o Za daŋ təra ban ɓəə kaa ɓo ne ko", 
"17 Pəlli, pə’manne, kal təl ah ɓe","Gros, gros gros, faire fâcher"," Dəɓ gak ’naa naa ne təker swah ban Dəɓ ah a ’naa nən banban Kah ’naa mər ɓo ne ɓal banban Ɓeɓ zahzyil nyi dəɓ ne fan joŋni, ɓə faani ’Naa nahnən matə banban me ka laa pə’nyahr a", 
Fan dan dəɓɓi,Petite et grande guèpe," A ne ɗii cok camcam, so a zahləŋ camcam gwa Bandoorĩi 
malaŋne, bandoorĩi balle, mə ah pə lii Mo laa ɗii bandoori, təndo, tənjyo, paŋgai, wala matəbərŋgai ɓe, fan tə vaŋno yo Bandoori jur (dər) tənjwəə ɓo Ka kan nəm ka dəɓ mo re na tənjwəə ya, amma yea ne gyak təgbana tənjwəəre A rao wo goo, wala a kaa tə faa Təɗii ah cuu fan ma dan dəɓ ɓo Zah mundaŋ ah kaŋ ki ɓo kaŋ Koo təɗii ah mo pə cok camcam laŋ, zah man ye daŋ, a laa mor no", 
"Dəɓ mai mo swaa ɓo baaɓe, mo so kwan na welaŋne",Nain," Me tə kwoko pəlaŋne, kənyaa (kənah) banjah yo Fan mai mo ka joŋ dəɓlii gwari gwari ya daŋ, banjah yo, wala za faa: cok coi gbə ko ɓo", 
Goo yo,Arbuste grimpante," Banjai dəə tə kpuu ki, wala tə korre Lee banjai pəsyea byea, amma, kan fuu ɓo zahe Loo ’yahra lee banjai pəlli ka səəre", 
Syiŋ pə bii,Poisson, Banyiŋ jur bee ɓo Za ma kaara tə sər Ləəre daŋ a ɗiira ne təgərgaŋ Zah təgərgaŋ pəwahe Banyiŋ (təgərgaŋ) dai bee ne ’man a Syiŋ ah ka pə lii dai bee ya ta, 
Təkalle,Banc," Baŋ pəwah kal təkal ɓe Za gak kaa tə baŋ pəpaare Wee lekol haira tə baŋ pel pacuu fan ɓəəra 
", 
18 Cok kan (rək) lakre,Banque ," A zyeɓra zah baŋ pəswahe ka nyin mo kiŋ fan gŋ ka, amma ne daŋ laŋ comki nyin gak hah zah baŋ ta Pəram kan lak pə baŋ kal ma kan ɓər yaŋ ɓe",
"Zyeɓ suu ne gaini, wala ka joŋ yeɓɓe",Ceindre le rein, , 
"Zyeɓ fan ga wo pər ka ga gwəəre, wala ka ga ruu salle",Harnacher son cheval," Za mo laara cii koŋkeere ɓe, a bamra pər ka ga cok fanne ", 
"Zyeɓ suu ka joŋ fanne, ka ruu salle, wala ka ga gwəəre",Ceindre la hanche," Bai syel suu Cak suu ka za mo tə mor ɓə ’min ka Fan taŋ mo yak ɓe, a baŋ suu", 
"Coo zahe, zyii ɓə ki ya",Se taire," Za ki baŋra zah mbaŋ mbaŋ ka faara ɓə ya, ka syeere syak ya, a pəgaɓ ka tə ɓə ɓər ɓəəra", 
"Gban zah ne dəɓ ki, wala ne za ki ka joŋ fanne","S’accorder, museler"," Za gak baŋra zah ka kəə dəɓ ta Mo tai zah ne ra ɓe, ka mo baŋ zah ne ra ɓe ta Za ka baŋ zah dəə ma pəpəə ya", 
Faɓal (nəə) cokki,Code Défassa," Baŋ jur (dər) korro ɓo Syiŋ wo suu ah pəluu kal mə korro ɓe Baŋ matam ne ciŋ to,  ma wor ka ne ya Ɓal baŋ vaa ki ya Baŋ ka ɓaŋ ko kpah haihai ya", 
Tai ga wo ki ne salle,"Attacher, lier, entourer"," Ŋwəə baŋra (bamra) zahwii ne salle Vaŋno ɓe, za faa: Baŋni (bəbaŋ), pəpaa ɓe, za faa: Bamme (bəbamme) Me baŋ ram tətəl vaŋno, me bam ram təgər nai", 
"Pəloŋ yupyup, pəloŋ pəlli",Beaucoup salé, Ɓə ah cuu fan ma ne təmmi Təm ah pəloŋ baŋgaŋgaŋ (bəkəkakke) Təm lwok mənnəə (kəballe) a baŋgaŋgaŋ (bəkəkakke), 
19 Faɓal (nəə) cokki,"Chimpanzé, genre d’hyène"," Baŋgorai (məŋgorai, məŋgwə) jur kpiŋni ɓo A pə moo gbakgbak Dəɓ gak woŋ təgəə baŋgorai ne kpiŋ ne fahlii maino: Baŋgorai pəfuu nje nje, kpiŋn mə ah pəsyee nje nje Banŋgorai dai kpiŋn ne ’man a Ara gwa daŋ a ’yahra cok pee A ɓeɓra fakpahpəə pəlli kal kpiŋ ɓe", 
Faɓal (nəə) cokki,Patriache biche," Nəəmin mai mo swaa suu ɓe, mai mo tam ɓe 
", 
Kpuu yo,"Acacia albida, (faidherbia albida)"," Za ki ɗiira ne məŋgyo, nyiŋgyo, regyo, təsuŋrĩi Kpuu ah ka zyee goo ne zal a, sai ne kalle, za mundaŋ faara haazah ɓo ne bamme, zye ka joŋ ne bam na fan manyeeki ah ya Za zyeɓ dahtəbii ne kpuu baŋgyo(məŋgyo, təsuŋrĩi) Faɓal renra lee ah pəlli Kpuu ah mo pə ’wah ɓo ɓe, fakpahpəə joŋ gŋ pəsahe", 
"Nje, biŋ",Un peu," Za tə loo gera yaŋ bao ɓe, toŋ bao fahfal ta", 
Kpuu,Arbre donnant de gros fruit non mangeable," Bao (voo) a lee pəluuri, pəwah (wahl) ta Za ka re lee bao (voo) ya, a pəzwakke Za syiŋra nyah tə baore, ka syel ah mo ɓeɓ ka « Mawin goŋ byaŋ baore (voore), byaŋ dəfuu ya », mai ɓə sam za mundaŋ mo səəra yo", 
Bə Bibel,Baptême," Təgba faa: Maa pə bii, erbii, wala sah bii Dəɓ iŋ a ’yah baptisma, a nyiŋra təgbana Yesu mo faa Ne cok Ɓə Faa Masəŋ mo ge sər mundaŋ ne zah Missionnaire (JIK)  za mundaŋ mai mo nyiŋra baptisma kəpel jaŋjaŋ ne jol ah ɗiira nene məlaŋ ah , nyiŋra baptisma ne syii Ləəre We Kaardal Elmer no gŋ ta Za sai (3) nyiŋra baptisma com ahe", 
20 Cii yee juu moo zooni,Battement des ailles d’oiseau, Me tə ga nai me laa juu zoo bar kalle, 
"Ne swahe, gərgər, bərbər",Tremblant," Dəɓ mai syem mo təŋ ko ɓo, suu ah coo barbar 
", 
Fan ɓər kahe,Gésier," Bargel jur zyii ɓo Za ki ɗiira ne saore Saore (bargelle bərgelle, səlaŋ) kah pəyakke, ako ye joŋ ka farel mo gak ŋhəər ɓər kahe", 
Fan rii celle (cilli),Couverture pour le froid," Za zəmai tanra kaŋ bargo (barko) pəlli Zəzəə bargo camcam pəlli no ra 
", 
"Eere, gboŋgboŋ",Bénédiction," Masəŋ mo joŋ barka tə fan dəɓ ɓe, fan ah ɓoo pəlli, a nən pəlli ta Barka Masəŋ yea tə za ma ɗuura ko ceecee", 
Pə ’ahe,"Poisson à grosse tête, tête grosse"," Təsal ah pə ’ah təgbana tətəl barkak Dəɓ gak faa: Tətəl lii, wala tətəl ah a barkakkak ", 
Syiŋ pə bii,Silure," Barkak jur (dər) swahle (swahli) ɓo Tətəl ah pə ’ahe, pəyak ta Barkak pə’man kal swahli ɓe Za ki ka ’yahra ren ah ya, a joŋ syemme", 
Syiŋ kahzahe,"Moustache, poil"," Za ki ne barkam kahzah (barkamzah) pəlli Nəə cok manyeeki ah ne barkam kahzah pəwahe (pəwahlle): Təgbana kpiŋ, ɓolle, minni ", 
Goo yo,Arbuste grimpante," Barkel (barŋgel) dədəəni, lee ah jur lee əə, nah ah pəluu kal nah əə ɓe Za ɗaŋ məŋgai ne nah barkelle (barŋgelle)", 
"21 Mo ee bərkilli, ɓtv yo",Arbre, , 
"Dəɓ bai ’yah yeɓɓe, dəɓ tətəəre","Paresse, indolence"," Ne cok (tok) za mo tə gara cok (tok) ka pəpəə ɓe, barkoi (vəkoi, sərom) kaa mə ah yaŋ Wel ah barkoi (vəkoi, vorkoi, sərom) yo", 
"॥ii ah pə cok 
camcam","Libélulle, démoiselle, ou garcon non serieux, coureur de jupon, "," Barŋgeŋgyaŋ (ceecee, keekee, daceecee) ne təə, a zooni Tətəl ah pə’manne, nahnən pəluuri, suu ah pənyiŋ, za ka kwoko ne kal a A pəə ne cok sor mo tə gbah ɓil o Mo zoo ɓe, ka tə kyeɓ farelle, ka ɓeɓ fakpahpəə ya",
,qelqu’un de très virile,, 
"Baa (bəbaa) cuu vaŋno, barre (bəbarre) cuu pəpaare","Pl de gonfler, remplir un vase", Suu ah bar ɓo ne lii ah daŋ Fan bar ɓo wo suu ne lii ah daŋ, 
"Fa gai ŋwəə yo, a saa mor bataari malii",Jupon, , 
"Fa gai mai ŋwəə moo maara zahmorrĩi, a pəwahl kan zahciŋɓal ta",Jupe , A yea ne bataari malaŋ ɓər lam,
Barbar,Tremblant," Cel joŋ ko coo batbat ka gak gban fan a Suu ah coo batbat 
", 
"Mo ee bacoro, ɓtv yo","Céraste, vipère à corne", , 
Fabea ma dan dəɓɓi,"Insecte, guêpe maçonne, bousier, scarabé"," Battəri (mavivinni, mabərimtelli) kal tənjwəə, wala təndo ne ’man ɓe Haŋ battəri pənyiŋ pəlli Battəri ’yah ɓə vuu yaŋ wo fan pəlli Za ləŋra a ɓaŋ təkaa ciŋ wel ne ko, amma goŋga ye ka A kyeɓ təkaa mor wee ahe Battəri mo vuu yaŋ ɓe, a gbah təkaa rək gŋ, a ɓaa paa ga gŋ, so a rea zah ah ga gŋ Paa ah mo syer ɓe, wee ah a lwaa farel 	22 pəpəə ’wa Battəri dan dəɓ syen pəlli Mo yaŋ ɓə mai ka, battəri ka ɓaŋ təkaa ciŋ wel ah ne ya, mo dah yaŋ ah ee ɗao 
", 
Dəə ah daŋ pəsyea zahki bea (byea),Pl," Za faa ta: a pəsyea bənyo 
", de rouge pourpre 
"’Ya suu ne jol ma hahɓ tə wii, wala ma maa pə biicwakke",Masser," Mah wel bea wel ah ne biicwakke Mo ’yah ka zah guu mo baa mo ya ɓe, mo maa fan pə biicwak bea ne ko Za raa syiŋ beara syiŋ tə wii ta", 
Bee fan zaləŋ pəpaare,Pl," Mo bea bii baa ciiri Baa ɓo pəlli mo bea zah ah ge lalle Mo bea sor ne jol myah ga lal ne? Bea a cuu fan ma joŋ ga gŋ, wala fan ma joŋ ga lalle Mo bea ge gŋ, mo bea ge lalle"," de puiser d’eau, enlever l’eccès "
Niini,Empéché," Magwii tə ga pə ’wahe, mo bee (cak) zah ah sa Mo nĩi sa 
", 
"Təŋ ɓə, kpiŋ dəɓɓi","Reveiller, conseiller, attirer l'attention"," Ɓee me (lai, toŋ) me ge ne ɓə sə Dəɓ ah ka laa ɓə ah man a, me həə ga ɓee (lai) ko ɗə Za Mundaŋ faara: « Macui ɓee welle, so ne suu ah kal ge pə ŋhəəre, wala pə gaŋne » Na ɓee ki ne ɓə manyeeki ah ɗə", 
"Mo ee berre, biiri, ɓtv yo",Mensonge, , 
"əə) yo, jur gwii ɓo, a ren səwəəre, a əə lak swəə gŋ",Oryctérope," Ɓal ah ma kəpel pəwah kal ma fahfal ɓe 
", 
Syiŋ,Poisson, Bee (byee) jur (dər) syiŋ ma ɗii ne təvanna ɓo A syee tə bii səŋ ka dan ga mor bii pəɗək ya Bee (byee) kal təvanna ne man ɓe, 
"23 Bee bii, kee bii","Puiser, prendre un liquide dans un récipient"," Ɓaŋ bii pə fan gin ne ko Dəɓ bee bii ne ŋhəəre, ne daŋne, ne fan mai daŋ moo gak bee bii Me ga bee bii pə lakre Kee bii cuu bii ma bee tə biŋ Dəɓ gak faa bee sor ne jol ta Bee tə’yak dəɓ ta: ’yah faa: kaa byak dəɓ ka faa ɓə, wala joŋ ɓəɓe’ wol ahe Mo tə faa ko ɓə ah me bee tə’yak ah ɓo ɓaa ɓe ", 
"Nyiŋ, pənyiŋ, gaaram","Très mince, maigre"," Ee we mai ɗə, a pənyiŋ bee (beebee, gaaram) 
", 
Ɓə mai mo cii ne joŋ  fan ahe,"Bruit des feuilles, des chicottes", Zuŋ bərəə bee (byee) ka loɓ wel ah ne ko, 
"Makah mo tə yah ɓoo kpah o ɓe, a təŋ ne beere (bəəre, gwəəre), za faa: Makah bee kpahre",Gloussement de la poule," 
", 
"Pə’manne, suu lii",Gros corps," Dəɓ ah bekam bekam, ka ɗuu gal laŋ ya A ren fan pəlli, joŋ ɓo bekam bekam Jeertə ahe: Gaaram, ɓoroŋ", 
"Təɗe’, təɗe’ təɗe’, fetfet, coŋ ya","Tout, complétement, entièrement"," We ge zah yeɓ belbelle Dəfuu coŋ vaŋno ya, gera belbelle Mo zyeɓ fan ah belbel ɗao ka mo ge ne ba Nyin woora fan yaŋ ah belbelle, (fetfet, təɗe’ təɗe’), coŋ fan vaŋno ya Təgba gbəra gbəə", 
"Mo ee beremme, ɓtv yo",Acacia ataxacantha, , 
"Kpuu yo, a giŋ pə’manne, a lee pəwah na lee kalgii (təzoɓɓe), za coo təker ne lee ahe",Parkia biglobosa," 
", 
"Pəsahe, bai ’nahmme","Agraver une situation qcq, extrapoler"," We nyee erbii ɓe, suu ah a bel, zyeɓ suu ah ɓo pəsah bel Pətaa za mo tə leera byak ɓe, a ’yahra dəɓ mai cok nən ah mo pəsah bel, wala Ɓer ɓə, syer ɓə (ɓoo ɓə) ga gŋ pəlli Ɓə mai me laa so bem ɓə ge ɓo gŋ pəlli Tətəŋ ah kpak ɓə ah ka nai ya 
", 
Sor bem pəsah ɓe,"Epier, tête des épis"," Sor ka bem wee ya, amma a bem tətəl gin lalle Ɓil mo gbə ɓe, we byaŋ gin lalle Sor mo gbə ɓil ɓe, a byaŋ tətəl gin lal ta Jeertə ahe: Lelee, sosoo, kanne", 
Syerre,Pl," Fahlii mai wee mo pəəra gin ɓər ma ɓəə ne ko Za gak faara ne fahlii gwa daŋ naiko: Ŋwəə bemra weere, wee bemra ɓo pəlii Mawin mo byaŋ pəlli ɓe, ka yea pəswah ga lii ya, swah ah vər gwari Mo bem ɓo ka pəlli ya ɓe, ka byaŋ ɓo vaŋno Dəfuu ne nəə manyeeki ah bemra weere Juu, wala faɓea a syerra wee syerre","Reproduction, accoucher, mettre bas "
"Oosahe (təsahe), fan saa zahmərrĩi",Caleçon," Za ki ɗiira ne bemtəəri, za ki laŋ ɗiira ne bentəəri Bemtəəri yea pə ’ah na wak ma zyeɓ saa ga zahmərrĩi Fahkə ma saa ga sah a pə ’ahe, sal yea ne kəita ne kəita ka saa ga sahe Zah ah ma maa gin ne kəpel a yea pənyiŋ Pətaa za foora bemtəəri ne masəlai Bemtəəri ma ŋgaɓ ne zyim mafai ne mafuu ɗii ne maŋgahsyo, a juura zah ah juu", 
Ŋ fanne,"Savoir gérer, économiser, épargner"," Joŋ yella ne fan ka mo vər gwari ka Dəɓ gak ben sorre, ben naa, mo ka pəlli ya laŋ, mo ben o Welaŋ mai mo ka ren fan gwari gwari ya, a ben fan benne Dəɓ gak ben welle, ben dəɓ syemme Dəɓ mo ben dəɓ ah ɓe, a lwaa swah nje nje ga pelle, welaŋ gak joŋ dəɓlii Ben mai cuu wol dəɓɓi, gban jol mor dəɓɓi", 
Kpuu yo,Acacia polyacantha," Suu ah pəfai, ne waa, waa ah pəgoŋ na zahwon dəfuu, ciŋ təɗii ahe 
", 
25 Kpuu,Acasia ataxacantha (arbre épineux)," Berem ne waa, a yea mor gəəre Za kə Ləəre ɗiira ne bəleere Za baŋ ga wo kor ka gwii mo lwaa ’waŋ, wala gər ka Waa berem ne cwahlle", 
"Bee, bai gaɓɓe, gwari","Sans peine, sans difficulté"," Zuŋ goo ge lal berr, wala bee Lwaa lak ɗaŋ maa kəndaŋ ge gŋ berr, ɗaŋ pəə ne pel gwari sə Goo ah ka gak zuŋ berr, wala bee ya", 
"Swaa ɓə mai mo ka njaŋ ya, goŋga ye ka ne ɓə faani",Mensonge," Za gwahra ber ne fahlii camcam pəlli Bai faa goŋga, bai faa ɓə gin lal wat, muŋ ɓə muŋ, fofoo daŋ, ber (bee) yo Za gak gwahra ber zah ki ta Za ɗii pa gwah ber ne paberre, mawin ye ɓe, za ɗii ne maberre", 
Ɓə faa Masəŋ Matədaŋdaŋ mai Masəŋ mo gbah jol zan ah ne Tə’yak ah ka mo ŋwəəra,La bible, Bibel ne ॥erewol ɓər ah camcam 66 Woŋ ɓo pəluu camcam gwa Gbanzah Mataa a ne Derewol 39 Gbanzah Mafuu laŋ a ne Derewol 27 Za camcam 40 ye ŋwəəra Bibel Bibel a daŋdaŋ təgbana 2 Tim 3: 16 mo faa, 
"Pə lii, suu lii",Corps gros," Dəɓ ah ne suu biɓɓi A cuu fan mapəə ta Fan mai mo yak ya daŋ, a pəpəə biɓ Kpuu ah a pəpəə biɓ Cok ah pəpəə biɓɓi Me gaɓ ne yeɓ me yim biɓ Dəɓ mo ka joŋ fan nəə tətəl a, ka pah ah coŋ ɓo, yak vər a, təgwĩi yo, wala a biɓ Jeertə ahe: Pənyiŋ, gaaram, yaryar, ɓelɓel, wyaŋ wyaŋ ", 
"Haihai, vərvərri",En cachette," Mo joŋ ɓə ah biɗbiɗɗi nəə tətəl a, ’yah faa, bə uu ɗə ya Ɓə ah i zah jol ah biɗbiɗ (təɗe’ təɗe’), ge pel ɗə ya", 
Fan manikki,Très fin, Mawin ah swaa sum pənik biɗbiɗ , 
"Zan ki ɗiira ne biɗyakke, məŋgwaɓɓe","Sable fin, terrain très fertile"," Za laŋ ɗiira ne kpomme, məŋgwaɓɓe, 26 bidəkke Biɗyak sye təkuu manik ah yo, dəɓ mo tə syee təl ah ɓe, a tətəə Məŋgwaɓ a joŋ fan kpahpəə pəsah no cam 
", 
Gbəi gbəi,Rouler par terre," Fan ɓaŋ ko ɓoo tə sər fee (fer) bigla bigla, hər tə sər bikla bikla (bigla bigla), gak ur səŋ ya", 
"Bam mo tə ge səŋ ɓe, a ciŋ bii",L’eau," Bii ɗuu zah zaa ramme, tolle, tə sərri, pə elle Bii ma wuu gin mor sər laŋ no Bii rah sər ta ɗə", 
"Bii mai za mo əə, mo wuwuu",Eau du puits," Mo zwan bii əə ne, wala biizəə ne? Mo lwaa bii əə laŋ mo kəə təl ah ge lal ɗə, mo bee ba Jeertə ahe: Biizəə", 
"Kpak fanne, suu fanne",Couleur," Zyim fuu, syee, goo əə, gbəə maɗalle daŋ a cuu bii fanne (kpak fanne) Dəɓ gak faa bii ah a ɗəne? A pətərimbii, wala pətərimmi, pəvoore, na lok mɓəro, bii sale", 
"Bii mai mo zəə təwii, moo yea ne wii ’wa",Eau chaude," Mo wuu ɓe ka biicwak ye kao Biicwak (biitəwii, biiwii) mai ŋwəə moo səəra kəpel lom wolle ɗii ne biiwolle Jeertə ahe: Biiwokki", 
"Bii mai mo təkolle, sum mo kəka gŋ ya",Eau simple," Bii mai dəə ye mo laa ne pə’nyahre Za ki ɗiira biidəə ne gbalkəlaɓɓe Koo pəsyee biidəə gbalkəlaɓ laŋ me zwə ge zah ya! Biidəə ye bii ma təkol təgakgak Za ɗii ne biisyee, wala biifuu ta", 
"Lak bii mai mo wuu bii pəfai (pəpai), za ɗii bii ah ne biifai (biipai)",Eau blanche," 
", 
"27 Biifuu cuu bii mai mo pəɗək ɓoroo, za mo kwo cok ga gŋ pəgaɓɓe",Eau profonde,, 
Juu,Oiseau," Juu ah jur makahtəkoi ɓo, a pəə ne zahbamme Mo tə yeyee biifuu, biifuu ɓe, ka zahbam ge gwari ɓe Juu ah yeyee ne zahgwahl ɓəəkekem, bəəkekem", 
Bii mai mo pəfuu (pəpuu),Eau noire ou eau simple," Biifuu laŋ a cuu bii mai sum mo ka gŋ ya ta, dəɓ mo zwan təkolle Mo ee biidəə ", 
"Biigbəə a cuu təɗii we, wala məlaŋ mai za mo gban er biigbəə goŋ ma ɓaŋ fuu",Garçon et fille accompagnant le nouveau chef," Biigbəə mawor yea vaŋno, mawin yea vaŋno ta Biigbəə mawin a ciŋ mawin goŋe, mawor a ciŋ palyaŋ (bai) goŋe", 
"Fan mai suu ah mo na suu maɗalle, mo pəgbəə",Couleur jaune," Zyim ah pə biigbəə 
", 
Bii mai mo ka əŋ (oo) kpee ya,Eau de source," Cok mai bii moo ɓal gŋ gin lalle Biikyaŋ gak yea pəsah ceecee 
", 
"Mo ee berre, beere, ɓtv yo",Mensonge, , 
"Bii mai mo ka təkol a, sum mo gŋ",Eau farinée," Bii sum a cuu farel camcam mai mo tai ne summi: macaŋcaŋ, matərwalii, sumbii, təgonne daŋ biisum yo, mor za foora ɓoo ga pə bii Za ka ren biisum ya, za zwəzwanne, wala ləlahe", 
Goo yo,Feuilles consommables," Za ki ɗiira ne 
“kaamokwooki” Naa biisyeari (təbemsyeari, kaamokwooki) dər (jur) goo swaa ɓo ŋwəə kəəra naa biisyeari Naa ah pəzwak kəɗeak kəɗeak (keɗyah keɗyah) na naa goo təbaakamme", 
"28 Bii mai sum mo ka nən ah ya, bii kolle",Eau simple," Za mataa ka zwaara biisyee pəlli ya, sai a fokra sum gŋ ɗə 
", 
"Bii mai mo ka pəfuu ya, ka pəfai ya, mai mo jur syim ɓo","Eau rouge, rougeâtre"," Bii mai moo pəə zah nwah mo ka yea ne sam ya a ɗii ne biisyee Nwah ka kan sam ya ba, biisyee yee pəə zah ahe Za bər yim ne biisyee", 
Goo,Feuilles consommables," Biivuu, wala naa biivuu maki ah ne waa, manyeeki ah ka ne waa ya Ma ne waa mo joŋ pə’man ɓe, waa ah cur jolle Za ka kəəra naa ah yao, a təəra təm (cum) ne ko Ŋwəə kəəra naa biivuu marwahe Ŋwəə mo kəəra ɓe a ɗii ne naa biivuu ta Mo ge na lah naa biivuu (naabii)", 
"Bii mai mo ɓoo ɓo pəwah na zəə, mo ka ɗuɗuu ya,mo uu pə cok tə vaŋno","Eau stagnante, dormante"," Mo bee biizəə zwə ka, mo bee maəəre Biizəə cuu bii mai mo zəə tə wii ta", 
Fan wo suu,"Thorax, poitrine"," Bii (zahbii) a kəsyil zahzyil ne faŋne, təgəə wonni Təɗii ah pəpaare: zahbii, təbii, jejim bii, boŋni Me ɓaŋ faswaa ɓe daŋ bii a syen me Za ki ne bii pə ’ahe Kyem ma lii swah ki a ɗii ne zyaŋ bii Zyaŋ bii gak ciŋ tənyee ta Za ma zahki yee zyaŋra bii Za faa: Dahsyii tə tə bii rəə ɓe (fan ɗəə ɓo)", 
Fan ŋwəə fanne,Bic, Zahban bik camcam pəlli Za ŋwəəra fan ne bik kal karyon ɓe Bik ɓe ka tə syee pəsah ya Me lee bik masyee ɓo, 
"Pacwak in vam tə mabikki (bik təkuu (bik təkpuu), dadakilu) ne bikki",Enclume, Za ee (hee) kpuu maa vam gŋ pee səŋ Maki laŋ yea ne vamme, 
Təgər vam (bom) ma ɗok vam (bom) ki,"Marteau du forgeron, plateau du miel"," Bik pəwah swakɗe (swakle), a pəyəkki Pacwak coo, wala dah zah fan ne 29 bikki Za faa: bik manəm tənjwəəre, cuu gyak tənjwəə mai mo ne nəm gŋ", 
Gyak manəm tənjwəəre,Plateau du miel, , 
"Juu fanne, roo fanne",Terrasser, Mo bik sər ne ko , 
"Bil cok mawor yea ne loŋ zahgwa, amma matam ka yea ne ya",Sanglier," 
", 
"Bil mai mo yea fah cokki (tokki), mor gəəre","Phacochère, sanglier"," Bil cok (tok) pə’man kal bil yaŋ ɓe Zahvoo ah yaŋyaŋ kal bil yaŋ ɓe ta Mawor no, matam no ta", 
"Pəyəkki, kah səŋ",A ras le sol," Mafok zoo səŋ bilbilli, wala kəvər kəvər 
", 
